time,Blower,Labeller
2020-08-16 00:00:00+00:00,0,2
2020-08-16 01:00:00+00:00,0,0
2020-08-16 02:00:00+00:00,0,0
2020-08-16 03:00:00+00:00,0,0
2020-08-16 04:00:00+00:00,0,0
2020-08-16 05:00:00+00:00,0,0
2020-08-16 06:00:00+00:00,0,0
2020-08-16 07:00:00+00:00,0,0
2020-08-16 08:00:00+00:00,0,0
2020-08-16 09:00:00+00:00,0,0
2020-08-16 10:00:00+00:00,0,0
2020-08-16 11:00:00+00:00,1052,36
2020-08-16 12:00:00+00:00,11545,11634
2020-08-16 13:00:00+00:00,25165,36282
2020-08-16 14:00:00+00:00,12917,15215
2020-08-16 15:00:00+00:00,23682,37532
2020-08-16 16:00:00+00:00,24068,32225
2020-08-16 17:00:00+00:00,23012,35988
2020-08-16 18:00:00+00:00,23569,33562
2020-08-16 19:00:00+00:00,22285,35775
2020-08-16 20:00:00+00:00,21182,35247
2020-08-16 21:00:00+00:00,21062,31347
2020-08-16 22:00:00+00:00,7303,11078
2020-08-16 23:00:00+00:00,15646,23425
2020-08-17 00:00:00+00:00,24865,34747
2020-08-17 01:00:00+00:00,25814,35618
2020-08-17 02:00:00+00:00,13364,23897
2020-08-17 03:00:00+00:00,20446,22264
2020-08-17 04:00:00+00:00,13521,26702
2020-08-17 05:00:00+00:00,23357,32924
2020-08-17 06:00:00+00:00,20171,21845
2020-08-17 07:00:00+00:00,10464,21523
2020-08-17 08:00:00+00:00,18048,26491
2020-08-17 09:00:00+00:00,20300,26786
2020-08-17 10:00:00+00:00,19497,28644
2020-08-17 11:00:00+00:00,25703,29494
2020-08-17 12:00:00+00:00,23557,33784
2020-08-17 13:00:00+00:00,23538,31465
2020-08-17 14:00:00+00:00,22674,29655
2020-08-17 15:00:00+00:00,23390,32126
2020-08-17 16:00:00+00:00,15845,23317
2020-08-17 17:00:00+00:00,24077,28948
2020-08-17 18:00:00+00:00,28902,34361
2020-08-17 19:00:00+00:00,14439,20780
2020-08-17 20:00:00+00:00,28485,29578
2020-08-17 21:00:00+00:00,23479,32002
2020-08-17 22:00:00+00:00,23989,33015
2020-08-17 23:00:00+00:00,23580,32507
2020-08-18 00:00:00+00:00,28018,34330
2020-08-18 01:00:00+00:00,25089,33452
2020-08-18 02:00:00+00:00,23488,32784
2020-08-18 03:00:00+00:00,27183,35225
2020-08-18 04:00:00+00:00,21881,30494
2020-08-18 05:00:00+00:00,25105,35269
2020-08-18 06:00:00+00:00,23276,29748
2020-08-18 07:00:00+00:00,27166,34931
2020-08-18 08:00:00+00:00,26496,33687
2020-08-18 09:00:00+00:00,18998,31570
2020-08-18 10:00:00+00:00,65,2394
2020-08-18 11:00:00+00:00,2911,0
2020-08-18 12:00:00+00:00,14523,26569
2020-08-18 13:00:00+00:00,17226,35509
2020-08-18 14:00:00+00:00,16077,32927
2020-08-18 15:00:00+00:00,14677,29102
2020-08-18 16:00:00+00:00,13940,31448
2020-08-18 17:00:00+00:00,11348,20982
2020-08-18 18:00:00+00:00,16756,32587
2020-08-18 19:00:00+00:00,13149,27326
2020-08-18 20:00:00+00:00,17292,34158
2020-08-18 21:00:00+00:00,16514,32896
2020-08-18 22:00:00+00:00,16052,32215
2020-08-18 23:00:00+00:00,17556,36287
2020-08-19 00:00:00+00:00,16258,32610
2020-08-19 01:00:00+00:00,17506,34469
2020-08-19 02:00:00+00:00,16637,32479
2020-08-19 03:00:00+00:00,17269,35390
2020-08-19 04:00:00+00:00,17293,31280
2020-08-19 05:00:00+00:00,14694,33306
2020-08-19 06:00:00+00:00,11773,28503
2020-08-19 07:00:00+00:00,14664,23910
2020-08-19 08:00:00+00:00,14587,33703
2020-08-19 09:00:00+00:00,20514,26043
2020-08-19 10:00:00+00:00,29774,30573
2020-08-19 11:00:00+00:00,2805,5678
2020-08-19 12:00:00+00:00,7155,1088
2020-08-19 13:00:00+00:00,28535,17996
2020-08-19 14:00:00+00:00,18812,20261
2020-08-19 15:00:00+00:00,19919.5,26756
2020-08-19 16:00:00+00:00,22777.5,0
2020-08-19 17:00:00+00:00,20167,831
2020-08-19 18:00:00+00:00,33059,23676
2020-08-19 19:00:00+00:00,0,0
2020-08-19 20:00:00+00:00,0,0
2020-08-19 21:00:00+00:00,0,0
2020-08-19 22:00:00+00:00,8343,1325
2020-08-19 23:00:00+00:00,24519,33293
2020-08-20 00:00:00+00:00,22507.5,32323
2020-08-20 01:00:00+00:00,22961,30535
2020-08-20 02:00:00+00:00,21943,32351
2020-08-20 03:00:00+00:00,23983,30859
2020-08-20 04:00:00+00:00,18929,28416
2020-08-20 05:00:00+00:00,26230.5,33424
2020-08-20 06:00:00+00:00,20584,27771
2020-08-20 07:00:00+00:00,23089,30920
2020-08-20 08:00:00+00:00,25132.5,32378
2020-08-20 09:00:00+00:00,6928,10337
2020-08-20 10:00:00+00:00,5258,0
2020-08-20 11:00:00+00:00,16035,7863
2020-08-20 12:00:00+00:00,34058,23963
2020-08-20 13:00:00+00:00,25702.5,32399
2020-08-20 14:00:00+00:00,19248.5,27325
2020-08-20 15:00:00+00:00,25217.5,0
2020-08-20 16:00:00+00:00,24027.5,0
2020-08-20 17:00:00+00:00,22355.5,0
2020-08-20 18:00:00+00:00,25614.5,0
2020-08-20 19:00:00+00:00,29090,0
2020-08-20 20:00:00+00:00,25707,0
2020-08-20 21:00:00+00:00,26808.5,0
2020-08-20 22:00:00+00:00,25667,0
2020-08-20 23:00:00+00:00,24871,0
2020-08-21 00:00:00+00:00,25098.5,0
2020-08-21 01:00:00+00:00,24452.5,0
2020-08-21 02:00:00+00:00,22496,0
2020-08-21 03:00:00+00:00,25471,0
2020-08-21 04:00:00+00:00,24284,0
2020-08-21 05:00:00+00:00,22490.5,0
2020-08-21 06:00:00+00:00,27217.5,0
2020-08-21 07:00:00+00:00,24901.5,0
2020-08-21 08:00:00+00:00,22510,0
2020-08-21 09:00:00+00:00,26465,0
2020-08-21 10:00:00+00:00,23943.5,0
2020-08-21 11:00:00+00:00,27872,0
2020-08-21 12:00:00+00:00,26887,0
2020-08-21 13:00:00+00:00,25438,0
2020-08-21 14:00:00+00:00,25799,0
2020-08-21 15:00:00+00:00,27672,0
2020-08-21 16:00:00+00:00,27983,0
2020-08-21 17:00:00+00:00,27310.5,0
2020-08-21 18:00:00+00:00,24587,0
2020-08-21 19:00:00+00:00,23933.5,0
2020-08-21 20:00:00+00:00,26389,0
2020-08-21 21:00:00+00:00,25586,0
2020-08-21 22:00:00+00:00,22641,0
2020-08-21 23:00:00+00:00,0,0
2020-08-22 00:00:00+00:00,0,0
2020-08-22 01:00:00+00:00,0,0
2020-08-22 02:00:00+00:00,0,0
2020-08-22 03:00:00+00:00,0,0
2020-08-22 04:00:00+00:00,0,0
2020-08-22 05:00:00+00:00,0,0
2020-08-22 06:00:00+00:00,0,0
2020-08-22 07:00:00+00:00,0,0
2020-08-22 08:00:00+00:00,0,0
2020-08-22 09:00:00+00:00,0,0
2020-08-22 10:00:00+00:00,0,0
2020-08-22 11:00:00+00:00,0,0
2020-08-22 12:00:00+00:00,0,0
2020-08-22 13:00:00+00:00,0,0
2020-08-22 14:00:00+00:00,0,0
2020-08-22 15:00:00+00:00,0,0
2020-08-22 16:00:00+00:00,0,0
2020-08-22 17:00:00+00:00,0,0
2020-08-22 18:00:00+00:00,0,0
2020-08-22 19:00:00+00:00,0,0
2020-08-22 20:00:00+00:00,0,0
2020-08-22 21:00:00+00:00,0,0
2020-08-22 22:00:00+00:00,0,0
2020-08-22 23:00:00+00:00,0,0
2020-08-23 00:00:00+00:00,0,0
2020-08-23 01:00:00+00:00,0,0
2020-08-23 02:00:00+00:00,0,0
2020-08-23 03:00:00+00:00,0,0
2020-08-23 04:00:00+00:00,0,0
2020-08-23 05:00:00+00:00,0,0
2020-08-23 06:00:00+00:00,0,0
2020-08-23 07:00:00+00:00,0,0
2020-08-23 08:00:00+00:00,0,0
2020-08-23 09:00:00+00:00,0,0
2020-08-23 10:00:00+00:00,1732,0
2020-08-23 11:00:00+00:00,5751,0
2020-08-23 12:00:00+00:00,28999,0
2020-08-23 13:00:00+00:00,22551.5,0
2020-08-23 14:00:00+00:00,21666.5,0
2020-08-23 15:00:00+00:00,21693,0
2020-08-23 16:00:00+00:00,22648,0
2020-08-23 17:00:00+00:00,23133,0
2020-08-23 18:00:00+00:00,25942.5,0
2020-08-23 19:00:00+00:00,26034.5,0
2020-08-23 20:00:00+00:00,25494,0
2020-08-23 21:00:00+00:00,27591,0
2020-08-23 22:00:00+00:00,27571.5,0
2020-08-23 23:00:00+00:00,27896,0
2020-08-24 00:00:00+00:00,26561.5,0
2020-08-24 01:00:00+00:00,25275,0
2020-08-24 02:00:00+00:00,19740.5,0
2020-08-24 03:00:00+00:00,35500,0
2020-08-24 04:00:00+00:00,22630,0
2020-08-24 05:00:00+00:00,21143.5,0
2020-08-24 06:00:00+00:00,18736,0
2020-08-24 07:00:00+00:00,23422.5,0
2020-08-24 08:00:00+00:00,22809.5,0
2020-08-24 09:00:00+00:00,21139.5,0
2020-08-24 10:00:00+00:00,17159,0
2020-08-24 11:00:00+00:00,22190,0
2020-08-24 12:00:00+00:00,23692.5,0
2020-08-24 13:00:00+00:00,22816.5,0
2020-08-24 14:00:00+00:00,25188,23739
2020-08-24 15:00:00+00:00,22939.5,33180
2020-08-24 16:00:00+00:00,18585,26388
2020-08-24 17:00:00+00:00,22765.5,36246
2020-08-24 18:00:00+00:00,18374.5,24387
2020-08-24 19:00:00+00:00,20112.5,33577
2020-08-24 20:00:00+00:00,22646.5,29120
2020-08-24 21:00:00+00:00,33740,20407
2020-08-24 22:00:00+00:00,21884,29901
2020-08-24 23:00:00+00:00,22746.5,36398
2020-08-25 00:00:00+00:00,24959.5,32773
2020-08-25 01:00:00+00:00,33538,24498
2020-08-25 02:00:00+00:00,4797,3021
2020-08-25 03:00:00+00:00,0,0
2020-08-25 04:00:00+00:00,0,0
2020-08-25 05:00:00+00:00,0,0
2020-08-25 06:00:00+00:00,0,0
2020-08-25 07:00:00+00:00,0,0
2020-08-25 08:00:00+00:00,0,0
2020-08-25 09:00:00+00:00,78,0
2020-08-25 10:00:00+00:00,0,0
2020-08-25 11:00:00+00:00,0,0
2020-08-25 12:00:00+00:00,0,0
2020-08-25 13:00:00+00:00,0,0
2020-08-25 14:00:00+00:00,16,1654
2020-08-25 15:00:00+00:00,50,1132
2020-08-25 16:00:00+00:00,13849,5725
2020-08-25 17:00:00+00:00,34189,21579
2020-08-25 18:00:00+00:00,23631,32411
2020-08-25 19:00:00+00:00,18557.5,27142
2020-08-25 20:00:00+00:00,28916,19280
2020-08-25 21:00:00+00:00,26910.5,23214
2020-08-25 22:00:00+00:00,29094,35586
2020-08-25 23:00:00+00:00,28084.5,31122
2020-08-26 00:00:00+00:00,29857.5,33695
2020-08-26 01:00:00+00:00,26072,31310
2020-08-26 02:00:00+00:00,26238.5,34572
2020-08-26 03:00:00+00:00,22091,30623
2020-08-26 04:00:00+00:00,25764.5,33870
2020-08-26 05:00:00+00:00,22923.5,31461
2020-08-26 06:00:00+00:00,27936,25599
2020-08-26 07:00:00+00:00,19360.5,34699
2020-08-26 08:00:00+00:00,34108,34753
2020-08-26 09:00:00+00:00,25905,27556
2020-08-26 10:00:00+00:00,255,24093
